K(120) : 100.0, 0.0 -> 100.0, 0.0*10.579074126921345
B(240) : 2.8968877006648514e-06, 6.884340313351577 -> 2.5323081681842054e-07, 6.88434049432838*14.607711258121356
B(241) : 2.5323081681842054e-07, 6.88434049432838 -> 0.0, 6.884340511720651*14.559963062469734
K(242) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.553062433261264
K(243) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.505939617434995
K(244) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.4483027469147
K(245) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.411355339103684
K(246) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.40687052224354
K(247) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.492543151029187
K(248) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.475877193719564
K(249) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.461939696208997
K(250) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.437416344793668
K(251) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.45354815214536
K(252) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.518673014718257
K(253) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.483173839654599
K(254) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.493883339856533
K(255) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.598995154638798
K(256) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.583024232602561
K(257) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.588121328276717
K(258) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.565595409263118
K(259) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.55281693433738
K(260) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.545540744247674
K(261) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.50527641431642
K(262) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.403536615906562
K(263) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.395088687023703
K(264) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.403994085958567
K(265) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.410703056642227
K(266) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.423871335340257
K(267) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.432150544894085
K(268) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.43587633134639
K(269) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.43219972972596
K(270) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.40046103260453
K(271) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.34385924630005
K(272) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.37039254650263
K(273) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.312065136003362
K(274) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.273438310460689
K(275) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.30348399777528
K(276) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.347020085539162
K(277) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.415053498317958
K(278) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.420256788534125
K(279) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.390300529646598
K(280) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.409110551353157
K(281) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.372430921828004
K(282) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.552589553516045
K(283) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.541124835807935
K(284) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.519486974446679
K(285) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.477537377842118
K(286) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.500203336907605
K(287) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.450208747710496
K(288) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.432970988892038
K(289) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.4081010803561
K(290) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.40468986122842
K(291) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.430424968301143
K(292) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.408218984499943
K(293) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.38148635477641
K(294) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.37292614542576
K(295) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.388432690166027
K(296) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.286306509975862
K(297) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.354613187132554
K(298) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.316410898206001
K(299) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.268462740165557
K(300) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.17039048393547
K(301) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.178853719863792
K(302) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.192342811679437
K(303) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.306512793986508
K(304) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.311968757645907
K(305) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.296657850424
K(306) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.275534895245265
K(307) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.232927506284428
K(308) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.19069441623089
K(309) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.201922587202331
K(310) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.242746489288047
K(311) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.236299571220574
K(312) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.1989622188565
K(313) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.169736057084517
K(314) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.233236727847816
K(315) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.184362929611558
K(316) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.172116769445058
K(317) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.17665945389073
K(318) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.129204426852851
K(319) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.069341300812928
K(320) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.078304937604912
K(321) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.0900259666398
K(322) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.160026022446297
K(323) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.085824000684262
K(324) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.0742644332277
K(325) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.090686342824114
K(326) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.047332905179307
K(327) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.09258442012542
K(328) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.165383076046453
K(329) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.155658246657667
K(330) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.238053325232979
K(331) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.199035188068052
K(332) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.167634721094078
K(333) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.238390533212076
K(334) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.259673314768484
K(335) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.268150424813829
K(336) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.281786116474319
K(337) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.297980961543796
K(338) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.256026216296505
K(339) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.231983024190152
K(340) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.220007633530468
K(341) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.20669293388804
K(342) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.230872293480324
K(343) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.260008328819328
K(344) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.319465020606186
K(345) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.316136638005563
K(346) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.312780243608929
K(347) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.360784727399773
K(348) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.450925687784412
K(349) : 0.0, 6.884340511720651 -> 0.0, 6.884340511720651*14.503627515081927
S(350) : 0.0, 6.884340511720651 -> 59.794493290525736, 2.777946206717563*14.561313125160487
S(351) : 59.794493290525736, 2.777946206717563 -> 87.02053563943991, 0.9114667908602903*14.5868430787967
S(352) : 87.02053563943991, 0.9114667908602903 -> 96.69509375263766, 0.24642110993505606*14.54720839587766
S(353) : 96.69509375263766, 0.24642110993505606 -> 99.13864906157596, 0.07858460042190132*14.559140416029548
S(354) : 99.13864906157596, 0.07858460042190132 -> 99.93731098175232, 0.023783309342676882*14.573779275049523
S(355) : 99.93731098175232, 0.023783309342676882 -> 100.202855215305, 0.005609554678943047*14.611412911971337
S(356) : 100.202855215305, 0.005609554678943047 -> 100.27178683411388, 0.0009166593190487052*14.688505394341828
S(357) : 100.27178683411388, 0.0009166593190487052 -> 100.28520138039748, 0.0*14.634167792582026
K(358) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.621887529302791
K(359) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.667385673138142
K(360) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.627261529373678
K(361) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.625113214061198
K(362) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.60483859101133
K(363) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.638376232811867
K(364) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.689186842959367
K(365) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.684122124728674
K(366) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.614100939337241
K(367) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.592051247411247
K(368) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.582655147136665
K(369) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.509551586443708
K(370) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.534300234308217
K(371) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.56066336696038
K(372) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.57043257480088
K(373) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.496462557117889
K(374) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.476664565595643
K(375) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.52492509702626
K(376) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.521953752534003
K(377) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.611247303793025
K(378) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.619695857591521
K(379) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.589162174583993
K(380) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.653480449499405
K(381) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.697144477740736
K(382) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.717409009740637
K(383) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.747644793562532
K(384) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.796763424748011
K(385) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.842335077143458
K(386) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.803707704323836
K(387) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.80227980268727
K(388) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.826628800440343
K(389) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.78525461340604
K(390) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.847498561934218
K(391) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.896164999189548
K(392) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.948149047705222
K(393) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.9814950531454
K(394) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.893120432346947
K(395) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.768543916159409
K(396) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.74924226179951
K(397) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.772620822429785
K(398) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.793407666551598
K(399) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.77681148264516
K(400) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.762372875681908
K(401) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.735119114537609
K(402) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.795837348516196
K(403) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.76571116884198
K(404) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.845428907948063
K(405) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.90273236670011
K(406) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.905771472694862
K(407) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.921034148694993
K(408) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.954909383109134
K(409) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*14.964044912774757
K(410) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.028367925578483
K(411) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.027197521723437
K(412) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.0014929941471
K(413) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.046483850321072
K(414) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.097554636585656
K(415) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.057458245847293
K(416) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.207300703139161
K(417) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.194409224462039
K(418) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.27088095630996
K(419) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.286216154858028
K(420) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.320462943745042
K(421) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.327220235886
K(422) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.417389378687329
K(423) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.384267497326567
K(424) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.325284231048759
K(425) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.370607102728366
K(426) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.320657004893896
K(427) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.356250371003746
K(428) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.441308313383615
K(429) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.46928728934425
K(430) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.448204322403647
K(431) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.455587392635987
K(432) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.424840663519227
K(433) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.406313052459197
K(434) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.36032884799994
K(435) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.36782491506725
K(436) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.324057915285728
K(437) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.348644174084786
K(438) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.352446332018202
K(439) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.30697358493477
K(440) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.351104256588302
K(441) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.398387910283036
K(442) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.40848401850496
K(443) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.520800453466864
K(444) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.452675532658953
K(445) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.481032103560835
K(446) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.481767444907781
K(447) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.526184789736181
K(448) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.565454060312875
K(449) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.581629416129957
K(450) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.568344862725025
K(451) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.604450198272854
K(452) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.567575534525243
K(453) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.604622269325425
K(454) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.575445270985298
K(455) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.549274026855828
K(456) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.545860461519958
K(457) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.486965830853086
K(458) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.465623299320416
K(459) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.387897443230203
K(460) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.334688662439808
K(461) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.364111475792
K(462) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.381176676903179
K(463) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.350368339844369
K(464) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.410863306772578
K(465) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.484030469346733
K(466) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.490920742639577
K(467) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.531809738876374
K(468) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.545087897631927
K(469) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.468357482428779
K(470) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.460069633996296
K(471) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.560223630391683
K(472) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.549679930802412
K(473) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.546276425228049
K(474) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.517398766526005
K(475) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.513940631981447
K(476) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.555429437850982
K(477) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.501594483912607
K(478) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.569268819079799
K(479) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.60463276564905
K(480) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.638167552899592
K(481) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.6337086307357
K(482) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.627264840703951
K(483) : 100.28520138039748, 0.0 -> 100.28520138039748, 0.0*15.625904774528577
